
2024/04/25 (15:48:44) | ===> btop++ v.1.3.2
2024/04/25 (15:48:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:48:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/04/25 (15:49:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
